timestamp,distance_cm,altitude_angle_deg,azimuth_angle_deg,scan_repeat
1760412812.471665,12.0,134,2,0
1760412812.5145438,12.0,135,2,0
1760412812.5561936,12.75,136,2,0
1760412812.5976517,13.0,137,2,0
1760412812.6392791,13.0,138,2,0
1760412812.680674,13.0,139,2,0
1760412812.7221844,12.25,140,2,0
1760412812.7639475,12.0,141,2,0
1760412812.8050044,12.0,142,2,0
1760412812.845926,12.0,143,2,0
1760412812.8868492,12.0,144,2,0
1760412812.928314,12.0,145,3,0
1760412812.970714,12.4,144,3,0
1760412813.0119188,13.0,143,3,0
1760412813.053147,12.75,142,3,0
1760412813.0949378,12.0,141,3,0
1760412813.136408,12.0,140,3,0
1760412813.1783233,12.0,139,3,0
1760412813.2197576,12.0,138,3,0
1760412813.2617457,12.0,137,3,0
1760412813.3034093,12.0,136,3,0
1760412813.3453417,12.5,135,3,0
1760412813.3868835,13.0,134,3,0
1760412813.428258,13.0,133,3,0
1760412813.470151,12.0,132,3,0
1760412813.5116034,12.0,131,3,0
1760412813.553788,12.0,130,3,0
1760412813.5952678,12.0,129,3,0
1760412813.6370425,12.0,128,3,0
1760412813.6790571,12.0,127,3,0
1760412813.72105,12.0,126,3,0
1760412813.7627637,12.0,125,3,0
1760412813.8049161,12.0,124,3,0
1760412813.8460696,12.0,123,3,0
1760412813.887222,12.0,122,3,0
1760412813.9286916,12.0,121,3,0
1760412813.9701,12.0,120,3,0
1760412814.0112162,12.0,119,3,0
1760412814.052356,13.0,118,3,0
1760412814.0933464,13.0,117,3,0
1760412814.134526,13.0,116,3,0
1760412814.1761863,13.0,115,3,0
1760412814.218114,13.0,114,3,0
1760412814.2594085,13.0,113,3,0
1760412814.3010933,14.0,112,3,0
1760412814.3432555,14.0,111,3,0
1760412814.385665,14.0,110,3,0
1760412814.4273362,14.5,109,3,0
1760412814.4690592,15.0,108,3,0
1760412814.5104454,15.0,107,3,0
1760412814.551679,15.0,106,3,0
1760412814.5937028,15.0,105,3,0
1760412814.635484,15.0,104,3,0
1760412814.677854,16.0,103,3,0
1760412814.7196734,16.0,102,3,0
1760412814.7616782,16.0,101,3,0
1760412814.80347,16.0,100,3,0
1760412814.8453364,16.0,99,3,0
1760412814.8870673,15.75,98,3,0
